25343452,2.1.1
25343452,3.2.0
13644266,2.1.0
22160234,3.0.3
21505321,3.0.2
23075979,2.2.2
11946707,2.0.4
14874039,3.0.1
14046049,2.2.2
14802810,2.2.2
14802810,2.3.0
19064129,2.3.2
19009275,2.3.2
11164453,2.0.2
23729618,3.0.2
18831046,3.0.0
14411855,2.2.2
18347436,3.0.0
22751248,3.1.1
17018790,1.1.1
19326407,2.0.3
22785277,2.3.2
24886917,3.1.1
14047316,3.0.3
14047316,1.4.0
20846204,3.0.3
18411877,2.3.2
20279883,2.0.3
22143436,2.3.2
19475645,2.3.2
25046308,2.1.0
20956645,3.0.0
15011153,2.3.0
15008062,2.3.0
10233260,2.0.0
23418967,3.1.1
25231857,3.2.0
21625780,3.1.0
15986491,1.0.0
21882634,3.0.0
23944140,3.0.0
17504371,2.3.2
21459730,3.0.1
18933255,1.0.0
13222236,1.1.0
13222236,2.1.1
25513835,1.3.0
18520845,2.3.2
23876440,3.1.1
18033413,3.0.0
