2013-05-24,1
2013-05-25,1
2013-05-26,1
2013-05-27,3
2013-05-28,1
2013-05-30,5
2013-05-31,2
2013-06-01,2
2013-06-02,1
2013-06-03,2
2013-06-05,2
2013-06-10,1
2013-06-14,1
2013-06-16,1
2013-06-17,1
2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-24,1
2013-06-25,1
2013-06-26,1
2013-06-29,1
2013-07-02,1
2013-07-03,1
2013-07-08,1
2013-07-10,1
2013-07-15,1
2013-07-19,1
2013-07-24,2
2013-07-29,1
2013-07-30,1
2013-08-05,2
2013-08-07,1
2013-08-10,2
2013-08-11,1
2013-08-14,1
2013-09-05,1
2013-09-08,1
2013-09-10,1
2013-09-12,1
2013-09-19,1
2013-09-20,1
2013-09-23,1
2013-10-01,1
2013-10-09,1
2013-10-11,1
2013-10-15,1
2013-10-17,1
2013-10-21,1
2013-10-24,1
2013-10-25,1
2013-10-26,2
2013-10-28,1
2013-11-01,1
2013-11-14,1
2013-11-20,1
2013-11-22,3
2013-12-02,1
2013-12-03,1
2013-12-11,1
2013-12-12,1
2013-12-13,1
2013-12-20,1
2013-12-30,1
2014-01-21,2
2014-01-22,1
2014-01-23,1
2014-01-24,1
2014-01-26,1
2014-02-01,1
2014-02-04,1
2014-02-05,1
2014-02-06,1
2014-02-13,2
2014-02-15,1
2014-02-27,1
2014-03-04,2
2014-03-24,1
2014-03-25,1
2014-04-02,1
2014-04-04,1
2014-04-08,1
2014-04-10,1
2014-04-13,1
2014-04-14,1
2014-04-16,1
2014-04-24,3
2014-04-25,1
2014-04-28,1
2014-05-02,2
2014-05-04,2
2014-05-05,1
2014-05-07,1
2014-05-13,1
2014-05-15,1
2014-05-17,1
2014-05-22,1
2014-05-24,1
2014-06-02,3
2014-06-03,1
2014-06-04,1
2014-06-12,1
2014-06-14,1
2014-06-17,1
2014-06-18,2
2014-06-19,2
2014-06-25,2
2014-06-26,1
2014-06-27,1
2014-06-30,1
2014-07-04,1
2014-07-06,2
2014-07-07,1
2014-07-08,2
2014-07-09,1
2014-07-11,1
2014-07-12,1
2014-07-14,1
2014-07-15,1
2014-07-16,2
2014-07-17,1
2014-07-18,1
2014-07-23,1
2014-07-25,1
2014-07-30,1
2014-08-05,1
2014-08-12,1
2014-08-13,2
2014-08-30,1
2014-09-04,1
2014-09-07,1
2014-09-11,1
